AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  0xCCE06     0xAC620     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE58     0xAC634     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE68     0xAC648     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE78     0xAC65C     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE88     0xAC670     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE98     0xAC684     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCEE8     0xAC698     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCF38     0xAC6AC     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCF48     0xAC6C0     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCF98     0xAC6D4     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCFA8     0xAC6E8     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCFE4     0xAC710     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD008     0xAC724     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD02C     0xAC738     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD050     0xAC74C     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD078     0xAC760     1D          8     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD080     0xAC774     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD0AC     0xAC788     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCD0D0     0xAC79C     1D          7     int16      +8  ~Engine Speed
